CÓDIGO;DESCRIPCIÓN;SERIE;CANTIDAD; PRECIO_USD ;ACTUALIZACIÓN HASTA -- > VIERNES, 14 DE NOVIEMBRE DE 2025 03:24:39 P. M.
226402304310;22.64.0.230.4310 Contactor Modular (230 VAC/DC) 4NA 63A AgSnO2;S22;46; $100,86 ;
260181100000;26.01.8.110.0000 Telerruptor (110VAC) 1NA 10A;S26;21; $17,13 ;
260182300000;26.01.8.230.0000 Telerruptor (230VAC) 1NA 10A;S26;59; $17,13 ;
260481100000;26.04.8.110.0000 Telerruptor (110VAC) 4 Sec 2NA 10A;S26;2; $21,07 ;
260482300000;26.04.8.230.0000 Telerruptor (230VAC) 4 Sec 2NA 10A;S26;33; $21,07 ;
260681100000;26.06.8.110.0000 Telerruptor (110VAC) 3 Sec 2NA 10A;S26;9; $21,07 ;
260682300000;26.06.8.230.0000 Telerruptor (230VAC) 3 Sec 2NA 10A;S26;15; $21,07 ;
302270120020;30.22.7.012.0020 Relé subminiatura (12 VDC) 2CC 2A RT III;S30;73; $4,30 ;
302270240020;30.22.7.024.0020 Relé subminiatura (24 VDC) 2CC 2A RT III;S30;255; $4,30 ;
322170242300;32.21.7.024.2300 Relé para CI (24 VDC) 1NA 6A;S32;1; $3,66 ;
345170050010;34.51.7.005.0010 Relé EMR para CI (5VDC) 1CC 6A;S34;255; $6,72 ;
345170120010;34.51.7.012.0010 Relé EMR para CI (12VDC) 1CC 6A;S34;276; $5,60 ;
345170240010;34.51.7.024.0010 Relé EMR para CI (24VDC) 1CC 6A;S34;16035; $5,96 ;
345170245010;34.51.7.024.5010 Relé EMR para CI (24VDC) 1CC 6A AgNi+Au;S34;488; $6,72 ;
345170600010;34.51.7.060.0010 Relé EMR para CI (60VDC) 1CC 6A;S34;2640; $8,51 ;
348170248240;34.81.7.024.8240 Relé SSR para CI (24VDC) 1NA @ 240V AC 2A;S34;378; $20,67 ;
348170249024;34.81.7.024.9024 Relé SSR para CI (24VDC) 1NA @ 24V DC 6A;S34;2158; $19,77 ;
348170609024;34.81.7.060.9024 Relé SSR para CI (60VDC) 1NA @ 24V DC 6A;S34;197; $20,36 ;
361190124011;36.11.9.012.4011 Mini-relé para CI (12VDC) 1CC 10A RT III;S36;432; $1,78 ;
385100120060;38.51.0.012.0060 Int. Modular EMR (12VAC/DC) 1CC 6A;S38;222; $15,13 ;
385100125060;38.51.0.012.5060 Int. Modular EMR (12VAC/DC) 1CC 6A AgNi + Au;S38;26; $16,35 ;
385100240060;38.51.0.024.0060 Int. Modular EMR (24VAC/DC) 1CC 6A;S38;7242; $15,13 ;
385101250060;38.51.0.125.0060 Int. Modular EMR (110...125VAC/DC) 1CC 6A;S38;2076; $18,50 ;
385102400060;38.51.0.240.0060 Int. Modular EMR (220...240VAC/DC) 1CC 6A;S38;55; $18,50 ;
385170240050;38.51.7.024.0050 Int. Modular EMR (24VDC) 1CC 6A;S38;1764; $15,13 ;
388101258240;38.81.0.125.8240 Int. Modular SSR (110.125VAC/DC) 1NA @ 240VAC 2A;S38;3; $33,90 ;
388170249024;38.81.7.024.9024 Int. Modular SSR (24VDC) 1NA @ 24VDC 6A;S38;738; $31,88 ;
391100240060;39.11.0.024.0060 Int. Modular EMR (24VAC/DC) 1CC 6A;S39;308; $13,98 ;
393100240060;39.31.0.024.0060 Int. Modular EMR (24VAC/DC) 1CC 6A;S39;1568; $15,13 ;
393101250060;39.31.0.125.0060 Int. Modular EMR (110...125VAC/DC) 1CC 6A;S39;453; $18,50 ;
393102400060;39.31.0.240.0060 Int. Modular EMR (24...240VAC/DC) 1CC 6A;S39;5; $28,33 ;
396100240060;39.61.0.024.0060 Int. Modular EMR (24VAC/DC) 1CC 6A;S39;91; $16,62 ;
401170482000;40.11.7.048.2000 Relé para CI 1CC(48VDC) 10A AgCdO;S40;40; $5,54 ;
403180240000;40.31.8.024.0000 Relé 1CC (24VAC) 10 A;S40;411; $6,20 ;
403181200000;40.31.8.120.0000 Relé 1CC (120VAC) 10 A;S40;477; $7,86 ;
403182300000;40.31.8.230.0000 Relé 1CC (230VAC) 10 A;S40;302; $9,29 ;
403190120000;40.31.9.012.0000 Relé 1CC (12VDC) 10 A;S40;597; $4,36 ;
403190240000;40.31.9.024.0000 Relé 1CC (24 VDC) 10 A;S40;2792; $4,36 ;
403190240003;40.31.9.024.0003 Relé 1CC (24VDC) 10 A +125 °C RT III;S40;5; $6,93 ;
403191250000;40.31.9.125.0000 Relé 1CC (125VDC) 10 A;S40;6; $10,01 ;
405180240000;40.51.8.024.0000 Relé 1CC (24VAC) 10 A;S40;28; $6,20 ;
405181200000;40.51.8.120.0000 Relé 1CC (120VAC) 10 A;S40;8; $7,86 ;
405182300000;40.51.8.230.0000 Relé 1CC (230VAC) 10 A;S40;5; $9,29 ;
405190120000;40.51.9.012.0000 Relé 1CC (12VDC) 10 A;S40;90; $4,36 ;
405190240000;40.51.9.024.0000 Relé 1CC (24VDC) 10 A;S40;488; $4,36 ;
405270240000;40.52.7.024.0000 Relé 2CC (24VDC) 8 A;S40;101; $5,31 ;
405271250000;40.52.7.125.0000 Relé 2CC (125VDC) 8 A;S40;1; $11,07 ;
405280240000;40.52.8.024.0000 Relé 2CC (24VAC) 8 A;S40;1231; $7,34 ;
405281200000;40.52.8.120.0000 Relé 2CC (120VAC) 8 A;S40;4744; $8,94 ;
405282300000;40.52.8.230.0000 Relé 2CC (230VAC) 8 A;S40;2152; $10,29 ;
405282400000;40.52.8.240.0000 Relé 2CC (240VAC) 8 A;S40;1; $10,29 ;
405290120000;40.52.9.012.0000 Relé 2CC (12VDC) 8 A;S40;1158; $5,31 ;
405290240000;40.52.9.024.0000 Relé 2CC (24VDC) 8 A;S40;6214; $5,31 ;
405291250000;40.52.9.125.0000 Relé 2CC (125VDC) 8 A;S40;99; $11,07 ;
406160240000;40.61.6.024.0000 Relé 1CC (24V AC/DC) 16 A Biestable;S40;9; $10,57 ;
406180240000;40.61.8.024.0000 Relé 1CC (24VAC) 16 A;S40;63; $6,46 ;
406181200000;40.61.8.120.0000 Relé 1CC (120VAC) 16 A;S40;243; $8,08 ;
406182300000;40.61.8.230.0000 Relé 1CC (230VAC) 16 A;S40;118; $9,49 ;
406190120000;40.61.9.012.0000 Relé 1CC (12VDC) 16 A;S40;735; $4,59 ;
406190240000;40.61.9.024.0000 Relé 1CC (24VDC) 16 A;S40;1544; $4,59 ;
406270120000;40.62.7.012.0000 Relé 2CC (12VDC) 10A;S40;8; $7,93 ;
406281200000;40.62.8.120.0000 Relé 2CC (120VAC) 10 A;S40;100; $11,07 ;
406282300000;40.62.8.230.0000 Relé 2CC (230VAC) 10 A;S40;74; $13,01 ;
406290240000;40.62.9.024.0000 Relé 2CC (24VDC) 10 A;S40;100; $7,93 ;
413190120010;41.31.9.012.0010 Relé 1CC (12VDC) 12 A;S41;15; $4,30 ;
413190240010;41.31.9.024.0010 Relé 1CC (24VDC) 12 A;S41;60; $4,30 ;
413191100010;41.31.9.110.0010 Relé 1CC (110VDC) 12 A;S41;20; $6,16 ;
415290120010;41.52.9.012.0010 Relé 2CC (12VDC) 8 A;S41;163; $4,81 ;
415290240010;41.52.9.024.0010 Relé 2CC (24VDC) 8 A;S41;1347; $4,81 ;
415291100010;41.52.9.110.0010 Relé 2CC (110VDC) 8 A;S41;64; $6,58 ;
416190120010;41.61.9.012.0010 Relé 1CC (12VDC) 16 A;S41;13; $4,67 ;
416190240010;41.61.9.024.0010 Relé 1CC (24VDC) 16 A;S41;17; $4,67 ;
416191100010;41.61.9.110.0010 Relé 1CC (110VDC) 16 A;S41;18; $6,40 ;
418170248240;41.81.7.024.8240 Relé SSR (24VDC) 1NA @ 240VAC 3 A;S41;18; $22,87 ;
418170249024;41.81.7.024.9024 Relé SSR (24VDC) 1NA @ 24VDC 5 A;S41;51; $23,87 ;
434170124000;43.41.7.012.4000 Relé 1CC (12VDC) 10 A  AgSnO2 RT II;S43;3; $3,62 ;
434170244000;43.41.7.024.4000 Relé 1CC (24VDC) 10 A;S43;196; $3,62 ;
445290120000;DESCONTINUADO, lo reemplaza el producto 40.52.9.012.0000;S44;1; $5,19 ;
465280240040;46.52.8.024.0040 Relé Faston 2CC (24VAC) 8A;S46;237; $10,76 ;
465281200040;46.52.8.120.0040 Relé Faston 2CC (120VAC) 8 A;S46;282; $12,27 ;
465281200054;46.52.8.120.0054 Relé Faston 2CC (120VAC) 8A;S46;193; $14,12 ;
465282300040;46.52.8.230.0040 Relé Faston 2CC (230VAC) 8 A;S46;180; $14,78 ;
465290120040;46.52.9.012.0040 Relé Faston 2CC (12VDC) 8 A;S46;182; $8,79 ;
465290240040;46.52.9.024.0040 Relé Faston 2CC (24VDC) 8 A;S46;1744; $8,79 ;
465290240074;46.52.9.024.0074 Relé Faston 2CC (24VDC) 8 A;S46;266; $10,71 ;
466180240040;46.61.8.024.0040 Relé Faston 1CC (24VAC) 16 A;S46;470; $9,40 ;
466181200040;46.61.8.120.0040 Relé Faston 1CC (120VAC) 16 A;S46;1310; $10,87 ;
466181200054;46.61.8.120.0054 Relé Faston 1CC (120VAC) 16 A;S46;178; $12,76 ;
466182300040;46.61.8.230.0040 Relé Faston 1CC (230VAC) 16 A;S46;241; $13,18 ;
466190120040;46.61.9.012.0040 Relé Faston 1CC (12VDC) 16 A;S46;257; $7,53 ;
466190120074;46.61.9.012.0074 Relé Faston 1CC (12VDC) 16 A;S46;10; $9,43 ;
466190240040;46.61.9.024.0040 Relé Faston 1CC (24VDC) 16 A;S46;2739; $7,53 ;
466190240074;46.61.9.024.0074 Relé Faston 1CC (24VDC) 16 A;S46;480; $9,43 ;
4B01000;4B.01.000 Hide, caja de pared 3 modulos, Blanco;S4B;10; $37,35 ;
4B03H21;4B.03.H21 Side, caja de pared 3 modulos, Antrasita;S4B;10; $50,25 ;
4B3MBNV14;4B3MBN.V14 Placa 3 módulos - Vimar (plana);S4B;24; $3,60 ;
4BBV3M;4B.BV.3M Chasis 3 módulos - Bticino / Vimar;S4B;34; $2,15 ;
4BLCU;4B.L.CU Tapon ciego - Bticino (living light), Antracita;S4B;10; $-   ;
4BLTT;4B.L.TT Tapon ciego - Bticino (living light), Antracita;S4B;10; $0,80 ;
